epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
186,555.668,1.33095,0.88755,1.25089,0.96666,0.92673,0.97072,0.61984,1.19053,0.82946,1.39654,0.000120393,0.000120393,0.000120393
187,558.624,1.34031,0.86652,1.26152,0.96607,0.92529,0.97049,0.62754,1.18262,0.82617,1.39499,0.00011332,0.00011332,0.00011332
188,561.619,1.32606,0.85752,1.22295,0.96369,0.92234,0.96986,0.63569,1.17022,0.82646,1.39168,0.000106246,0.000106246,0.000106246
189,564.631,1.33306,0.88057,1.3031,0.95793,0.92231,0.96988,0.64033,1.16198,0.82664,1.39176,9.91726e-05,9.91726e-05,9.91726e-05
190,567.634,1.30195,0.86896,1.2563,0.95137,0.93748,0.97143,0.64167,1.15494,0.82501,1.38827,9.20991e-05,9.20991e-05,9.20991e-05
191,573.845,1.34918,0.99364,1.32167,0.95723,0.9407,0.9724,0.64012,1.14998,0.83172,1.38556,8.50255e-05,8.50255e-05,8.50255e-05
192,576.64,1.29926,0.9699,1.24369,0.95859,0.93943,0.97068,0.64205,1.15366,0.84823,1.38601,7.7952e-05,7.7952e-05,7.7952e-05
193,579.425,1.2808,0.91977,1.25662,0.95587,0.93865,0.9697,0.63593,1.16301,0.87024,1.38754,7.08784e-05,7.08784e-05,7.08784e-05
194,582.136,1.24857,0.89249,1.24682,0.95356,0.93746,0.97085,0.63431,1.16913,0.89107,1.38901,6.38049e-05,6.38049e-05,6.38049e-05
195,584.858,1.28154,0.90346,1.24934,0.95216,0.93784,0.97046,0.63061,1.16882,0.89502,1.38697,5.67313e-05,5.67313e-05,5.67313e-05
196,587.572,1.28188,0.89143,1.26612,0.95463,0.93677,0.97058,0.63008,1.16807,0.89381,1.38362,4.96578e-05,4.96578e-05,4.96578e-05
197,590.335,1.26641,0.89959,1.28387,0.95909,0.93332,0.97056,0.63381,1.16451,0.8836,1.37997,4.25842e-05,4.25842e-05,4.25842e-05
198,593.073,1.27917,0.90543,1.28343,0.95995,0.93211,0.97047,0.63828,1.1629,0.86914,1.37598,3.55107e-05,3.55107e-05,3.55107e-05
199,595.8,1.25872,0.90455,1.2576,0.96408,0.93282,0.97164,0.63856,1.15845,0.85911,1.37228,2.84371e-05,2.84371e-05,2.84371e-05
200,598.509,1.24597,0.90442,1.27573,0.96296,0.93282,0.97197,0.63866,1.15587,0.84993,1.36849,2.13636e-05,2.13636e-05,2.13636e-05
