epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,137.618,2.07393,1.60848,1.96599,0.70553,0.70495,0.77931,0.35922,1.99051,1.85077,2.32287,0.00112484,0.00112484,0.00112484
45,140.59,2.03181,1.60117,2.01345,0.76059,0.69596,0.73414,0.2502,2.24423,1.86902,2.43862,0.00111776,0.00111776,0.00111776
46,143.357,2.02449,1.54428,2.0263,0.70619,0.60849,0.57696,0.15693,2.43564,1.89478,2.49565,0.00111069,0.00111069,0.00111069
47,146.178,2.08116,1.45805,1.98246,0.82265,0.75058,0.7847,0.27723,2.06972,1.73802,2.33497,0.00110362,0.00110362,0.00110362
48,149.28,2.02974,1.56176,1.94107,0.7981,0.81446,0.84451,0.39896,1.90337,1.69503,2.24947,0.00109654,0.00109654,0.00109654
49,152.096,1.95782,1.44113,1.94422,0.75784,0.81465,0.82749,0.39172,1.89144,1.71772,2.22087,0.00108947,0.00108947,0.00108947
50,155.144,2.0021,1.40051,1.83902,0.80845,0.77615,0.81393,0.38913,1.96913,1.76467,2.21306,0.0010824,0.0010824,0.0010824
51,158.157,1.9544,1.43679,1.87656,0.85377,0.77212,0.82927,0.3924,1.97743,1.74124,2.21309,0.00107532,0.00107532,0.00107532
52,161.138,1.93536,1.45771,1.9162,0.86749,0.76778,0.8415,0.40744,1.88006,1.65777,2.17327,0.00106825,0.00106825,0.00106825
53,164.195,1.92128,1.44986,1.85451,0.8333,0.76483,0.80181,0.37887,1.86755,1.63162,2.17829,0.00106118,0.00106118,0.00106118
54,167.203,1.87055,1.37374,1.79033,0.81422,0.79471,0.79639,0.35531,1.93935,1.64013,2.1978,0.0010541,0.0010541,0.0010541
55,170.247,1.98268,1.41764,1.80585,0.81093,0.79003,0.82009,0.34856,1.93269,1.62686,2.19797,0.00104703,0.00104703,0.00104703
56,172.995,1.92149,1.46208,1.84841,0.78563,0.773,0.79523,0.32424,1.92486,1.64525,2.16923,0.00103995,0.00103995,0.00103995
57,176.007,1.83753,1.36636,1.80638,0.81561,0.74783,0.80087,0.33793,1.84977,1.58652,2.15081,0.00103288,0.00103288,0.00103288
58,178.983,1.86616,1.4353,1.85764,0.85127,0.74854,0.8169,0.35058,1.884,1.57127,2.17696,0.00102581,0.00102581,0.00102581
59,181.725,1.83942,1.33699,1.77382,0.89281,0.74432,0.86248,0.42876,1.77053,1.51486,2.09398,0.00101873,0.00101873,0.00101873
60,184.528,1.85338,1.46305,1.80563,0.9151,0.72541,0.85631,0.4549,1.69663,1.4774,2.02851,0.00101166,0.00101166,0.00101166
61,187.619,1.77396,1.37861,1.77739,0.88808,0.74951,0.8643,0.44985,1.70497,1.49829,2.02312,0.00100459,0.00100459,0.00100459
62,190.655,1.81405,1.32713,1.75816,0.88053,0.74323,0.85576,0.43816,1.74285,1.47036,1.99975,0.000997513,0.000997513,0.000997513
63,193.41,1.7407,1.3198,1.7214,0.86164,0.77576,0.85579,0.45033,1.67341,1.43412,1.9569,0.00099044,0.00099044,0.00099044
64,196.458,1.90992,1.28231,1.69854,0.79348,0.76007,0.80712,0.39365,1.77367,1.53186,1.9591,0.000983366,0.000983366,0.000983366
65,199.462,1.73801,1.28837,1.69172,0.78047,0.76785,0.80581,0.40332,1.72455,1.58307,1.93378,0.000976293,0.000976293,0.000976293
66,202.494,1.83788,1.33067,1.69732,0.83026,0.81435,0.83257,0.43204,1.6739,1.59088,1.93212,0.000969219,0.000969219,0.000969219
67,205.515,1.727,1.35087,1.69944,0.87901,0.80219,0.86071,0.46087,1.6732,1.53437,1.90517,0.000962146,0.000962146,0.000962146
68,208.546,1.72794,1.26853,1.63985,0.87781,0.77251,0.86485,0.4587,1.62262,1.48996,1.88984,0.000955072,0.000955072,0.000955072
69,211.563,1.74094,1.26662,1.68521,0.84866,0.76045,0.83717,0.40267,1.66919,1.44164,1.93524,0.000947999,0.000947999,0.000947999
70,214.609,1.75068,1.21624,1.64423,0.91245,0.79941,0.8895,0.44498,1.60596,1.34375,1.91759,0.000940925,0.000940925,0.000940925
71,217.635,1.72954,1.30085,1.68964,0.89713,0.8116,0.88399,0.4587,1.60332,1.33354,1.90764,0.000933851,0.000933851,0.000933851
72,220.419,1.72452,1.22103,1.63975,0.90048,0.80474,0.88547,0.46983,1.61943,1.29417,1.87288,0.000926778,0.000926778,0.000926778
73,223.239,1.77538,1.30306,1.6697,0.8745,0.82085,0.85662,0.44013,1.62143,1.4069,1.87187,0.000919704,0.000919704,0.000919704
74,225.98,1.75005,1.23543,1.62367,0.83272,0.8473,0.84355,0.43998,1.60611,1.38867,1.84549,0.000912631,0.000912631,0.000912631
75,228.764,1.67713,1.15499,1.52687,0.88545,0.78036,0.85823,0.46385,1.66155,1.45873,1.85012,0.000905557,0.000905557,0.000905557
76,231.817,1.69321,1.20432,1.60968,0.87895,0.78481,0.86991,0.45892,1.68824,1.44867,1.85457,0.000898484,0.000898484,0.000898484
77,234.863,1.67862,1.15219,1.55534,0.92074,0.78264,0.87632,0.45442,1.67634,1.39589,1.85661,0.00089141,0.00089141,0.00089141
78,237.888,1.65637,1.17812,1.57082,0.88858,0.77969,0.88382,0.46971,1.61247,1.34349,1.84009,0.000884337,0.000884337,0.000884337
79,240.888,1.6495,1.20081,1.60535,0.84591,0.78764,0.8722,0.43914,1.60563,1.27572,1.84226,0.000877263,0.000877263,0.000877263
80,243.9,1.65218,1.16569,1.57851,0.83212,0.80077,0.84123,0.38868,1.65674,1.28665,1.88389,0.00087019,0.00087019,0.00087019
81,246.62,1.5399,1.16942,1.58525,0.82464,0.80399,0.79574,0.3683,1.67424,1.36457,1.87587,0.000863116,0.000863116,0.000863116
82,249.348,1.6642,1.29767,1.63855,0.80048,0.81899,0.80126,0.37577,1.69814,1.40873,1.84229,0.000856042,0.000856042,0.000856042
83,252.097,1.69553,1.23167,1.60006,0.85746,0.81764,0.87894,0.48255,1.51936,1.41591,1.75846,0.000848969,0.000848969,0.000848969
84,255.198,1.62744,1.16254,1.54799,0.88083,0.81263,0.88516,0.50151,1.49013,1.38204,1.74713,0.000841895,0.000841895,0.000841895
85,258.425,1.6511,1.06534,1.49104,0.88491,0.79994,0.87759,0.48807,1.58252,1.40851,1.76731,0.000834822,0.000834822,0.000834822
86,261.758,1.72463,1.38021,1.64501,0.8867,0.78702,0.87123,0.48237,1.5575,1.41167,1.75332,0.000827748,0.000827748,0.000827748
87,264.952,1.61797,1.16871,1.52349,0.88196,0.80332,0.87176,0.47498,1.53573,1.33847,1.74289,0.000820675,0.000820675,0.000820675
88,268.203,1.67432,1.1874,1.53539,0.9139,0.79658,0.87986,0.48522,1.52707,1.30116,1.72909,0.000813601,0.000813601,0.000813601
89,271.285,1.6483,1.1442,1.56549,0.89043,0.84088,0.90384,0.50146,1.50623,1.29075,1.73128,0.000806528,0.000806528,0.000806528
90,274.046,1.60275,1.17151,1.53425,0.93395,0.83141,0.91339,0.5031,1.48854,1.19833,1.7111,0.000799454,0.000799454,0.000799454
91,276.876,1.65472,1.15207,1.5157,0.89395,0.86029,0.90654,0.49105,1.51096,1.32687,1.72117,0.00079238,0.00079238,0.00079238
92,279.647,1.62844,1.15089,1.51372,0.9017,0.86188,0.91609,0.52044,1.50891,1.29614,1.72402,0.000785307,0.000785307,0.000785307
93,282.789,1.56818,1.11957,1.52396,0.92018,0.84396,0.91843,0.5315,1.52365,1.21085,1.72589,0.000778233,0.000778233,0.000778233
94,285.827,1.5809,1.14228,1.4679,0.94109,0.82202,0.9166,0.53536,1.48693,1.20487,1.70136,0.00077116,0.00077116,0.00077116
95,288.686,1.59356,1.08235,1.4731,0.89885,0.87189,0.92102,0.52816,1.42651,1.17698,1.68336,0.000764086,0.000764086,0.000764086
96,291.86,1.62864,1.11408,1.45455,0.88427,0.87045,0.91981,0.5263,1.44877,1.16823,1.69889,0.000757013,0.000757013,0.000757013
97,294.98,1.56909,1.14451,1.49247,0.89745,0.85135,0.91155,0.50857,1.52847,1.25524,1.73068,0.000749939,0.000749939,0.000749939
98,298.279,1.51084,1.05588,1.46283,0.91658,0.85534,0.92158,0.53006,1.47016,1.24368,1.70423,0.000742866,0.000742866,0.000742866
99,301.384,1.55804,1.11128,1.46685,0.90369,0.88301,0.93041,0.52833,1.43946,1.13921,1.67206,0.000735792,0.000735792,0.000735792
